num_hyps,proof_effort,frequency,canonical
1,1,1,(n : ℕ) (h1 : take (n + 1) [] = []) : take n [] = [] ∧ drop n [] = []
1,1,1,(n : ℕ) (h1 : take (n + 1) [] = []) : take n [] ++ drop n [] = []
1,1,1,(n : ℕ) (h1 : drop (n + 1) [] = []) : take n [] = [] ∧ drop n [] = []
1,1,1,(n : ℕ) (h1 : take 0 [] = []) : take n [] ++ drop n [] = []
1,1,1,(n : ℕ) (xs : List α) (h1 : take n [] = []) : take n xs ++ drop n xs = xs
1,1,1,(ys : List ℕ) (x : ℕ) (xs : List ℕ) (n : ℕ) (h1 : (if n = x then count n xs + 1 else count n xs) + count n ys =) : count n (x :: xs) + count n ys = count n (x :: xs ++ ys)
1,1,1,"(ys : List ℕ) (x : ℕ) (xs : List ℕ) (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) (n : ℕ) : (if n = x then count n xs + 1 else count n xs) + count n ys ="
1,1,1,"(ys : List ℕ) (x : ℕ) (xs : List ℕ) (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) (n : ℕ) : count n (x :: xs) + count n ys = count n (x :: xs ++ ys)"
1,1,1,"(ys : List ℕ) (x : ℕ) (xs : List ℕ) (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) (n : ℕ) : count n (x :: xs) + count n ys = count n (x :: (xs ++ ys))"
1,1,1,(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] + count n ys = count n ([] ++ ys)) : count n xs + count n ys = count n (xs ++ ys)
1,1,1,(n : ℕ) (ys : List ℕ) (x : ℕ) (xs : List ℕ) (h1 : (if n = x then count n xs + 1 else count n xs) ≤ if n = x then count n (xs ++ ys) + 1 else count n (xs ++ ys)) : count n (x :: xs) ≤ count n (x :: xs ++ ys)
1,1,1,(n : ℕ) (ys : List ℕ) (x : ℕ) (xs : List ℕ) (ih : count n xs ≤ count n (xs ++ ys)) : (if n = x then count n xs + 1 else count n xs) ≤ if n = x then count n (xs ++ ys) + 1 else count n (xs ++ ys)
1,1,1,(n : ℕ) (ys : List ℕ) (x : ℕ) (xs : List ℕ) (ih : count n xs ≤ count n (xs ++ ys)) : count n (x :: xs) ≤ count n (x :: (xs ++ ys))
1,1,1,(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] ≤ count n ([] ++ ys)) : count n xs ≤ count n (xs ++ ys)
1,1,1,(n : ℕ) (ys : List ℕ) (x : ℕ) (xs : List ℕ) (ih : count n xs ≤ count n (xs ++ ys)) : count n (x :: xs) ≤ count n (x :: xs ++ ys)
1,1,1,(h : n = x) : (count n xs).succ = count n (x :: xs)
1,1,1,"(ih : ∀ (xs : List α), drop n (drop m xs) = drop (n + m) xs) (xs : List α) : drop n (drop (m + 0).succ (x :: xs)) = drop (n + m).succ (x :: xs)"
1,1,1,"(ih : ∀ (xs : List α), drop n (drop m xs) = drop (n + m) xs) (xs : List α) : drop n (drop (m + 1) (x :: xs)) = drop (n + (m + 1)) (x :: xs)"
1,1,1,(h1 : drop n (drop m xs) = drop (n + m) xs) : drop n (drop (m + 1) (x :: xs)) = drop (n + (m + 1)) (x :: xs)
1,1,1,(n : ℕ) (h1 : drop 0 [] = []) : drop n (drop (m + 1) []) = drop (n + (m + 1)) []
1,1,1,"(n : ℕ) (ih : ∀ (xs : List α), drop n (drop m xs) = drop (n + m) xs) (xs : List α) : drop n (drop (m + 1) xs) = drop (n + (m + 1)) xs"
1,1,1,"(ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) (n : ℕ) (m : ℕ) : drop (n + 1) (take (m + 1) (x :: xs)) = take (m + 1 - (n + 1)) (drop (n + 1) (x :: xs))"
1,1,1,"(ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) (m : ℕ) (n : ℕ) : drop (n + 1) (take m (x :: xs)) = take (m - (n + 1)) (drop (n + 1) (x :: xs))"
1,6,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((take_nil : ∀ (k : ℕ), take k [] = []) → ∀ (k : ℕ), drop k [] = []) ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop 0 (take m (x :: xs)) = take (m - 0) (drop 0 (x :: xs)) ∧ drop (n + 1) (take m (x :: xs)) = take (m - (n + 1)) (drop (n + 1) (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,1,1,"(take_nil : ∀ (k : ℕ), take k [] = []) : drop n (take m []) = take (m - n) (drop n [])"
1,1,1,"(ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) (n : ℕ) (m : ℕ) : drop n (take m (x :: xs)) = take (m - n) (drop n (x :: xs))"
1,5,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((take_nil : ∀ (k : ℕ), take k [] = []) → (k : ℕ) → drop k [] = []) ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop (n + 1) (take (m + 1) (x :: xs)) = take (m + 1 - (n + 1)) (drop (n + 1) (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,5,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((take_nil : ∀ (k : ℕ), take k [] = []) → (k : ℕ) → drop k [] = []) ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop n (take m (x :: xs)) = take (m - n) (drop n (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,5,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((take_nil : ∀ (k : ℕ), take k [] = []) → (k : ℕ) → drop 0 [] = []) ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop n (take m (x :: xs)) = take (m - n) (drop n (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,3,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop n (take m (x :: xs)) = take (m - n) (drop n (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,5,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((take_nil : ∀ (k : ℕ), take k [] = []) → ∀ (k : ℕ), drop k [] = []) ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop n (take m (x :: xs)) = take (m - n) (drop n (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,7,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((take_nil : ∀ (k : ℕ), take k [] = []) → (k : ℕ) → drop 0 [] = [] ∧ drop (k + 1) [] = []) ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop (n + 1) (take 0 (x :: xs)) = take (0 - (n + 1)) (drop (n + 1) (x :: xs)) ∧ drop n (take m xs) = take (m - n) (drop n xs))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,5,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((take_nil : ∀ (k : ℕ), take k [] = []) → (k : ℕ) → drop (k + 1) [] = []) ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop n (take m (x :: xs)) = take (m - n) (drop n (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,4,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop 0 (take m (x :: xs)) = take (m - 0) (drop 0 (x :: xs)) ∧ drop (n + 1) (take m (x :: xs)) = take (m - (n + 1)) (drop (n + 1) (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
1,6,1,"(n : ℕ) (m : ℕ) (xs : List α) (h1 : ∀ (k : ℕ), take k [] = [] ∧ ((take_nil : ∀ (k : ℕ), take k [] = []) → (k : ℕ) → drop 0 [] = [] ∧ drop (k + 1) [] = []) ∧ ((x : α) → (ih : ∀ (n m : ℕ), drop n (take m xs) = take (m - n) (drop n xs)) → drop n (take m (x :: xs)) = take (m - n) (drop n (x :: xs)))) : drop n (take m xs) = take (m - n) (drop n xs)"
2,2,2,"(k : ℕ) (h1 : take 0 [] = [] ∧ take (k + 1) [] = []) : ∀ (k : ℕ), take k [] = []"
2,2,1,(n : ℕ) (h1 : take (n + 1) [] = [] ∧ drop n [] = []) : take n [] ++ drop n [] = []
2,2,1,"(ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) (n : ℕ) (h1 : take n xs ++ drop n xs = xs) : take n (x :: xs) ++ drop n (x :: xs) = x :: xs"
2,2,1,(n : ℕ) (h1 : take (n + 1) [] = [] ∧ drop n [] = []) : take n [] = [] ∧ drop n [] = []
2,2,1,(h1 : take n [] = [] ∧ drop n [] = []) : take n [] ++ drop n [] = []
2,2,1,(n : ℕ) (h1 : take n [] = [] ∧ drop (n + 1) [] = []) : take n [] ++ drop n [] = []
2,2,1,(n : ℕ) (xs : List α) (h1 : take (n + 1) [] = [] ∧ drop (n + 1) [] = []) : take n xs ++ drop n xs = xs
2,4,1,"(n : ℕ) (xs : List α) (h1 : take n [] ++ drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,2,1,(n : ℕ) (h1 : take n [] = [] ∧ drop 0 [] = []) : take n [] ++ drop n [] = []
2,2,1,"(ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) (n : ℕ) (h1 : take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs) : take n (x :: xs) ++ drop n (x :: xs) = x :: xs"
2,2,1,(n : ℕ) (h1 : take n [] = [] ∧ drop 0 [] = []) : take n [] = [] ∧ drop n [] = []
2,3,1,"(n : ℕ) (xs : List α) (h1 : take n [] ++ drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,2,1,"(ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) (n : ℕ) (h1 : take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs) : take n (x :: xs) ++ drop n (x :: xs) = x :: xs"
2,2,1,(n : ℕ) (h1 : take 0 [] = [] ∧ drop n [] = []) : take n [] = [] ∧ drop n [] = []
2,2,1,(n : ℕ) (h1 : take n [] = [] ∧ drop (n + 1) [] = []) : take n [] = [] ∧ drop n [] = []
2,2,1,(n : ℕ) (h1 : take (n + 1) [] = [] ∧ drop (n + 1) [] = []) : take n [] = [] ∧ drop n [] = []
2,3,1,"(n : ℕ) (xs : List α) (h1 : take n [] ++ drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,4,1,"(n : ℕ) (xs : List α) (h1 : take n [] ++ drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,3,1,"(n : ℕ) (xs : List α) (h1 : take n [] ++ drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,2,1,(n : ℕ) (xs : List α) (h1 : take n [] = [] ∧ drop n [] = []) : take n xs ++ drop n xs = xs
2,2,1,(n : ℕ) (h1 : take (n + 1) [] = [] ∧ drop 0 [] = []) : take n [] ++ drop n [] = []
2,2,1,(n : ℕ) (h1 : take 0 [] = [] ∧ drop 0 [] = []) : take n [] = [] ∧ drop n [] = []
2,2,1,(n : ℕ) (h1 : take 0 [] = [] ∧ drop n [] = []) : take n [] ++ drop n [] = []
2,2,1,(n : ℕ) (h1 : take 0 [] = [] ∧ drop 0 [] = []) : take n [] ++ drop n [] = []
2,2,1,(n : ℕ) (h1 : drop 0 [] = [] ∧ drop (n + 1) [] = []) : take n [] = [] ∧ drop n [] = []
2,2,1,(n : ℕ) (h1 : take 0 [] = [] ∧ drop (n + 1) [] = []) : take n [] = [] ∧ drop n [] = []
2,2,1,(n : ℕ) (h1 : take (n + 1) [] = [] ∧ drop 0 [] = []) : take n [] = [] ∧ drop n [] = []
2,2,1,"(n : ℕ) (xs : List α) (x : α) (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) (h1 : take n (x :: xs) ++ drop n (x :: xs) = x :: xs) : take n xs ++ drop n xs = xs"
2,3,1,"(n : ℕ) (xs : List α) (h1 : drop (n + 1) [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take n (x :: xs) ++ drop n (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,2,1,(n : ℕ) (h1 : take 0 [] = [] ∧ drop (n + 1) [] = []) : take n [] ++ drop n [] = []
2,2,1,(n : ℕ) (h1 : take 0 [] = [] ∧ take (n + 1) [] = []) : take n [] = [] ∧ drop n [] = []
2,2,1,(n : ℕ) (xs : List α) (h1 : take n [] = [] ∧ drop 0 [] = []) : take n xs ++ drop n xs = xs
2,2,1,(n : ℕ) (xs : List α) (h1 : take n [] = [] ∧ drop (n + 1) [] = []) : take n xs ++ drop n xs = xs
2,3,1,"(n : ℕ) (xs : List α) (h1 : take n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take n (x :: xs) ++ drop n (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,3,1,"(n : ℕ) (xs : List α) (h1 : take (n + 1) [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take n (x :: xs) ++ drop n (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,2,1,(n : ℕ) (h1 : take 0 [] = [] ∧ take (n + 1) [] = []) : take n [] ++ drop n [] = []
2,2,1,(n : ℕ) (h1 : drop 0 [] = [] ∧ drop (n + 1) [] = []) : take n [] ++ drop n [] = []
2,4,1,"(n : ℕ) (xs : List α) (h1 : take (n + 1) [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,3,1,"(n : ℕ) (xs : List α) (h1 : drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,3,1,"(n : ℕ) (xs : List α) (h1 : drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,4,1,"(n : ℕ) (xs : List α) (h1 : take 0 [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,2,1,(n : ℕ) (h1 : take (n + 1) [] = [] ∧ drop (n + 1) [] = []) : take n [] ++ drop n [] = []
2,3,1,"(n : ℕ) (xs : List α) (h1 : drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take n (x :: xs) ++ drop n (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,4,1,"(n : ℕ) (xs : List α) (h1 : take n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,2,1,(n : ℕ) (xs : List α) (h1 : take (n + 1) [] = [] ∧ drop n [] = []) : take n xs ++ drop n xs = xs
2,3,1,"(n : ℕ) (xs : List α) (h1 : take n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,3,1,"(n : ℕ) (xs : List α) (h1 : drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,4,1,"(n : ℕ) (xs : List α) (h1 : drop (n + 1) [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,4,1,"(n : ℕ) (xs : List α) (h1 : take 0 [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,4,1,"(n : ℕ) (xs : List α) (h1 : drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,2,1,(n : ℕ) (xs : List α) (h1 : take 0 [] = [] ∧ drop n [] = []) : take n xs ++ drop n xs = xs
2,4,1,"(n : ℕ) (xs : List α) (h1 : drop n [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,4,1,"(n : ℕ) (xs : List α) (h1 : drop 0 [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take 0 (x :: xs) ++ drop 0 (x :: xs) = x :: xs ∧ take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,3,1,"(n : ℕ) (xs : List α) (h1 : take (n + 1) [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take (n + 1) (x :: xs) ++ drop (n + 1) (x :: xs) = x :: xs)) : take n xs ++ drop n xs = xs"
2,3,1,"(n : ℕ) (xs : List α) (h1 : drop 0 [] = [] ∧ ((x : α) → (ih : ∀ (n : ℕ), take n xs ++ drop n xs = xs) → take n xs ++ drop n xs = xs)) : take n xs ++ drop n xs = xs"
2,5,1,(ys : List ℕ) (x : ℕ) (xs : List ℕ) (n : ℕ) (h1 : ((h : n = x) → count n xs + 1 + count n ys = count n (xs ++ ys) + 1) ∧ ((h : ¬n = x) → count n xs + count n ys = count n (xs ++ ys))) : count n (x :: xs) + count n ys = count n (x :: xs ++ ys)
2,2,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (x : ℕ) (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) (h1 : count n (x :: xs) + count n ys = count n (x :: xs ++ ys)) : count n xs + count n ys = count n (xs ++ ys)"
2,2,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (x : ℕ) (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) (h1 : (if n = x then count n xs + 1 else count n xs) + count n ys =) : count n xs + count n ys = count n (xs ++ ys)"
2,2,1,"(ys : List ℕ) (x : ℕ) (xs : List ℕ) (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) (n : ℕ) (h : n = x) : count n xs + 1 + count n ys = count n (xs ++ ys) + 1"
2,3,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] + count n ys = count n ([] ++ ys) ∧ ((x : ℕ) → (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) → (if n = x then count n xs + 1 else count n xs) + count n ys =)) : count n xs + count n ys = count n (xs ++ ys)"
2,2,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (x : ℕ) (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) (h1 : count n (x :: xs) + count n ys = count n (x :: (xs ++ ys))) : count n xs + count n ys = count n (xs ++ ys)"
2,5,1,(h1 : ((h : n = x) → count n xs + 1 + count n ys = count n (xs ++ ys) + 1) ∧ ((h : ¬n = x) → count n xs + count n ys = count n (xs ++ ys))) : count n (x :: xs) + count n ys = count n (x :: (xs ++ ys))
2,8,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] + count n ys = count n ([] ++ ys) ∧ ((x : ℕ) → (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) → ((h : n = x) → (h' : count n xs + count n ys = count n (xs ++ ys)) → count n xs + 1 + count n ys = count n (xs ++ ys) + 1) ∧ ((h : ¬n = x) → count n xs + count n ys = count n (xs ++ ys)))) : count n xs + count n ys = count n (xs ++ ys)"
2,5,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] + count n ys = count n ([] ++ ys) ∧ ((x : ℕ) → (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) → (h : ¬n = x) → count n xs + count n ys = count n (xs ++ ys))) : count n xs + count n ys = count n (xs ++ ys)"
2,3,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] + count n ys = count n ([] ++ ys) ∧ ((x : ℕ) → (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) → count n (x :: xs) + count n ys = count n (x :: (xs ++ ys)))) : count n xs + count n ys = count n (xs ++ ys)"
2,7,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] + count n ys = count n ([] ++ ys) ∧ ((x : ℕ) → (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) → ((h : n = x) → count n xs + 1 + count n ys = count n (xs ++ ys) + 1) ∧ ((h : ¬n = x) → count n xs + count n ys = count n (xs ++ ys)))) : count n xs + count n ys = count n (xs ++ ys)"
2,4,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] + count n ys = count n ([] ++ ys) ∧ ((x : ℕ) → (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) → (h : n = x) → count n xs + 1 + count n ys = count n (xs ++ ys) + 1)) : count n xs + count n ys = count n (xs ++ ys)"
2,5,1,"(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] + count n ys = count n ([] ++ ys) ∧ ((x : ℕ) → (ih : ∀ (n : ℕ), count n xs + count n ys = count n (xs ++ ys)) → (h : n = x) → (h' : count n xs + count n ys = count n (xs ++ ys)) → count n xs + 1 + count n ys = count n (xs ++ ys) + 1)) : count n xs + count n ys = count n (xs ++ ys)"
2,2,1,(n : ℕ) (xs : List ℕ) (ys : List ℕ) (x : ℕ) (ih : count n xs ≤ count n (xs ++ ys)) (h1 : count n (x :: xs) ≤ count n (x :: xs ++ ys)) : count n xs ≤ count n (xs ++ ys)
2,2,1,(n : ℕ) (xs : List ℕ) (ys : List ℕ) (x : ℕ) (ih : count n xs ≤ count n (xs ++ ys)) (h1 : count n (x :: xs) ≤ count n (x :: (xs ++ ys))) : count n xs ≤ count n (xs ++ ys)
2,3,1,(n : ℕ) (xs : List ℕ) (ys : List ℕ) (h1 : count n [] ≤ count n ([] ++ ys) ∧ ((x : ℕ) → (ih : count n xs ≤ count n (xs ++ ys)) → count n (x :: xs) ≤ count n (x :: (xs ++ ys)))) : count n xs ≤ count n (xs ++ ys)
2,2,1,(n : ℕ) (xs : List ℕ) (ys : List ℕ) (x : ℕ) (ih : count n xs ≤ count n (xs ++ ys)) (h1 : (if n = x then count n xs + 1 else count n xs) ≤ if n = x then count n (xs ++ ys) + 1 else count n (xs ++ ys)) : count n xs ≤ count n (xs ++ ys)
